File Name,Step #,Person-in-charge,Step,Next Step / Reference
1.1 Business Development - Understanding Referral Needs,1.1.1,[N/A],STAGE 1.1.1: ASSESSING APPLICABLE AGENC(IES) FOR PROSPECTIVE CASE,1.1.1.1
,1.1.1.1,Client / Contractors,Contact Dyson with a business enquiry.,1.1.1.2
,1.1.1.2,Sales Executive,"Request information (Type of intended business, Address, Proposed floorplan, Copies of any approval of use).",1.1.1.3
,1.1.1.3,Client / Contractors,Gives information on Proposed Business.,1.1.1.4
,1.1.1.4,Sales Executive,Is there a desired location in mind?,"1.1.1.5, 1.1.1.6"
,1.1.1.5,Sales Executive,"If no location, refer client to RE Agent.",
,1.1.1.6,Sales Executive,"If yes location, Does Proposed Business involve NEA's approval?","1.1.1.7, 1.1.1.8"
,1.1.1.7,Sales Executive,"If no NEA approval needed, refer client to RE Agent.",
,1.1.1.8,Sales Executive,"If yes NEA approval needed, Will NEA approval be easily obtained?","1.1.1.9, 1.1.1.10"
,1.1.1.9,Sales Executive,"If NEA approval not easily obtained, refer client to RE Agent.",
,1.1.1.10,Sales Executive,"If NEA approval easily obtained, Did client send AoU?","1.1.1.11, 1.1.2"
,1.1.1.11,Sales Executive,"If yes client sent AoU, proceed to Assess if Quotation is Needed.",1.1.3
,1.1.2,[N/A],STAGE 1.1.2: ASSESS IF CHANGE IN APPROVAL OF USE WITH HDB/URA/JTC IS REQUIRED,1.1.2.1
,1.1.2.1,Sales Executive,Check address to determine relevant agenc(ies).,1.1.2.2
,1.1.2.2,Sales Executive,Is the unit under the purview of HDB/URA/JTC?,"1.1.2.3, 1.1.2.7"
,1.1.2.3,Sales Executive,"If HDB / JTC, Check with client if an enquiry has been made with HDB / JTC.","1.1.2.4, 1.1.2.6"
,1.1.2.4,Sales Executive,"If yes enquiry made, Request client to send over HDB/JTC's list of requirements for use of premises.",1.1.2.5
,1.1.2.5,Client,Sends over HDB/JTC's list of requirements for use of premises.,1.1.2.8
,1.1.2.6,Sales Executive,"If no enquiry made, Inform client to email HDB/JTC and send over list of requirements for use.",1.1.2.5
,1.1.2.7,Sales Executive,"If URA, Search URA Portal to determine existing Approval of Use.",1.1.2.8
,1.1.2.8,Sales Executive,Does the intended business fall under the existing Approval of Use?,"1.1.2.9, 1.1.2.10"
,1.1.2.9,Sales Executive,"If yes it falls under existing Approval of Use, proceed to Assess if Quotation is Needed.",1.1.3
,1.1.2.10,Sales Executive,"If no it does not fall under existing Approval of Use, Conduct checks on URA Portal / Email officer handling specific area of unit to verify if Change of Use to client's desired use is allowed.",1.1.2.11
,1.1.2.11,Sales Executive,Is Change of Use to desired use allowed?,"1.1.2.12, 1.1.2.13"
,1.1.2.12,Sales Executive,"If no Change of Use is not allowed, Inform client of potential issues regarding Approval of Use for desired business (DO NOT TAKE ON THE CASE).",
,1.1.2.13,Sales Executive,"If yes Change of Use is allowed, proceed to Assess if Quotation is Needed.",1.1.3
,1.1.3,[N/A],STAGE 1.1.3: ASSESS IF QUOTATION IS NEEDED,1.1.3.1
,1.1.3.1,Sales Executive,Check if client requires Dyson to quote for filing Change of Use application.,1.2
1.2 Business Development - Quotation,1.2.1,[N/A],STAGE 1.2.1: PREPARE DRAFT QUOTATION,1.2.1.1
,1.2.1.1,Client / Contractors,Informs Dyson on Proposal Needs.,1.2.1.2
,1.2.1.2,Sales Executive,Sends Admin instructions on quotation T&Cs.,1.2.1.3
,1.2.1.3,Admin,Prepare draft Quotation according to templates in Xero.,1.2.2
,1.2.2,[N/A],STAGE 1.2.2: ENGROSS QUOTATION,1.2.2.1
,1.2.2.1,Admin,Engross Quotation.,1.2.2.2
,1.2.2.2,Admin,Send to SE for Review.,1.2.2.3
,1.2.2.3,Sales Executive,Review Engrossed Quotation.,1.2.2.4
,1.2.2.4,Sales Executive,Is Engrossed Quotation complete?,"1.2.2.5, 1.2.2.6"
,1.2.2.5,Sales Executive,"If no, Inform Admin of amendments to engrossed quotation.",1.2.2.10
,1.2.2.6,Sales Executive,"If yes, Send Engrossed Quotation to MD for Approval and/or Signing.",1.2.2.7
,1.2.2.7,Managing Director,Is Engrossed Quotation complete?,"1.2.2.8, 1.2.2.9"
,1.2.2.8,Managing Director,"If no, MD gives comments to SE.",1.2.2.10
,1.2.2.9,Managing Director,"If yes, Sign Engrossed Quotation.",1.2.3
,1.2.2.10,Admin,Revise Quotation.,1.2.2.11
,1.2.2.11,Admin,Send to SE for Review.,1.2.2.3
,1.2.3,[N/A],STAGE 1.2.3: SEND QUOTATION FOR ACCEPTANCE,1.2.3.1
,1.2.3.1,Admin,WhatsApp Client's Finance Personnel only the Signed Quotation for acknowledgement.,1.2.3.2
,1.2.3.2,Client,Did Client acknowledge receipt?,"1.2.3.3, 1.2.3.4"
,1.2.3.3,Admin,"If no, Follow up once with client (on Same Day).",1.2.3.5
,1.2.3.4,Client,"If yes, Accept Quotation.",1.2.4
,1.2.3.5,Admin,Did Client acknowledge receipt?,"1.2.3.6, 1.2.3.4"
,1.2.3.6,Admin,"If no, END.",
,1.2.4,[N/A],STAGE 1.2.4: GENERATE INVOICE (FOR DEPOSIT),1.2.4.1
,1.2.4.1,Admin,Create invoice #1 (50%) for deposit.,1.2.4.2
,1.2.4.2,Admin,Send Invoice to client.,1.2.4.3
,1.2.4.3,Client,Receive Invoice #1.,1.2.4.4
,1.2.4.4,Client,Did Client pay?,"1.2.4.5, 1.2.4.6"
,1.2.4.5,Admin,"If no, Follow up with client on payment (within 1 week).",1.2.4.7
,1.2.4.6,Sales Executive,"If yes, Run through Checklist of Document for Project Kickoff and prepare necessary documents for client's signing.","2.1, 2.2, 2.3, 2.4"
,1.2.4.7,Admin,Did Client pay?,"1.2.4.8, 1.2.4.6"
,1.2.4.8,Admin,"If no, END.",
2.1 Project Kickoff - SFA,2.1.1,[N/A],STAGE 2.1.1: CONNECT STAKEHOLDERS,2.1.1.1
,2.1.1.1,Sales Executive,Create Group Chat & add all stakeholders.,2.1.1.2
,2.1.1.2,Sales Executive,"Sends list of required docs in Client Group Chat (Requested Information: ACRA, NRIC, Contact Number, Email. Other: Tenancy agreement, Layout plan, Food & drinks menu, Pest control contract, Food handlers' certificate(s) and NRIC(s), Food Hygiene Officer's certificate and NRIC (if unit exceeds 16sqm), Stamp duty).",2.1.1.3
,2.1.1.3,Admin,Request Client to add MD on Client's Corp Pass.,2.1.1.4
,2.1.1.4,Client,Does Client know how to add?,"2.1.1.5, 2.1.1.6"
,2.1.1.5,Client,"If yes, Add MD on Corp Pass.",2.1.2
,2.1.1.6,Admin,"If no, Help Client to add MD on Client's Corp Pass.",2.1.2
,2.1.2,[N/A],STAGE 2.1.2: OBTAIN CORP PASS ACCESS,2.1.2.1
,2.1.2.1,Client,Has Client given the necessary documents?,"2.1.2.2, 2.1.2.3"
,2.1.2.2,Client,"If yes, Sends requested Docs & Information.",2.1.2.4
,2.1.2.3,Sales Executive,"If no, Follow up with Client on list of documents.",2.1.2.1
,2.1.2.4,Admin,Check if client has paid.,"2.1.3, 2.1.4"
,2.1.3,[N/A],STAGE 2.1.3: PREPARE LETTER OF AUTHORISATION,2.1.3.1
,2.1.3.1,Admin,Review received documents & information.,2.1.3.2
,2.1.3.2,Admin,Prepare Letter of Authorisation (LoA).,2.1.3.3
,2.1.3.3,Admin,Send LoA to client for execution.,2.1.3.4
,2.1.3.4,Client,Executes LoA.,2.1.3.5
,2.1.3.5,Client,Sends executed LoA to Admin.,2.1.3.6
,2.1.3.6,Admin,Receives LoA.,2.1.3.7
,2.1.3.7,Admin,Send documents to Admin for online submission.,2.1.6
,2.1.4,[N/A],STAGE 2.1.4: PREPARE PLANS FOR REGULATORY COMPLIANCE,2.1.4.1
,2.1.4.1,Project Manager,Review layout plan.,2.1.4.2
,2.1.4.2,Admin,"Is the floor plan compliant with SFA's requirements? (Common requirements: Tray return location, Number of wash basins, Number of toilets, Greasetrap access).","2.1.6, 2.1.4.3"
,2.1.4.3,Admin,"If no, Suggest rectifications (Edit Layout Plan with suggested rectifications).",2.1.4.4
,2.1.4.4,Sales Executive,Receives edited Layout Plan and forwards to client.,2.1.4.5
,2.1.4.5,Client,Receive rectification comments.,2.1.4.6
,2.1.4.6,Client,Do clients have further comments to suggested rectifications?,"2.1.4.7, 2.1.4.10"
,2.1.4.7,Project Manager,"If yes, Collate comments from client.",2.1.4.8
,2.1.4.8,Project Manager,Send layout plan & consolidated rectification comments to Freelancers.,2.1.4.9
,2.1.4.9,Freelancers,"Touch up layout plan & include comments (Content of project: List of equipment, Compliance with Food Hygiene code).",2.1.4.10
,2.1.4.10,Freelancers,Sends to PM.,2.1.4.11
,2.1.4.11,Project Manager,Receives revised layout plan.,2.1.4.12
,2.1.4.12,Project Manager,Sends to client as project update.,2.1.5
,2.1.5,[N/A],"STAGE 2.1.5: SEEK CLIENT'S COMMENTS, IF ANY",2.1.5.1
,2.1.5.1,Client,Receives revised floor plans.,2.1.5.2
,2.1.5.2,Client,Do clients have any comments on floor plans?,"2.1.5.3, 2.1.5.4"
,2.1.5.3,Project Manager,"If yes, Revise drawing as per clients' comments.",2.1.4.8
,2.1.5.4,Admin,"If no, Send documents to Admin for online submission.",2.1.6
,2.1.6,[N/A],STAGE 2.1.6: SUBMISSION ON GO BUSINESS SG,2.1.6.1
,2.1.6.1,Admin,Log onto Go Business SG (https://www.gobusiness.gov.sg/#).,2.1.6.2
,2.1.6.2,Admin,Request OTP from MD.,2.1.6.3
,2.1.6.3,Managing Director,Send OTP.,2.1.6.4
,2.1.6.4,Admin,Receive OTP.,2.1.6.5
,2.1.6.5,Admin,Prepare Draft Submission.,2.1.6.6
,2.1.6.6,Admin,Verify details of Draft Submission.,2.1.6.7
,2.1.6.7,Admin,Print Summary & attachments.,2.1.6.8
,2.1.6.8,Admin,Submit on Go Business SG.,2.1.6.9
,2.1.6.9,Admin,Print acknowledgment of submission.,2.1.6.10
,2.1.6.10,Admin,File printed Summary & attachments.,3.1
2.2 Project Kickoff - HDB,2.2.1,[N/A],STAGE 2.2.1: PREPARE HDB FORM,2.2.1.1
,2.2.1.1,Sales Executive,Fill up HDB Form.,2.2.2
,2.2.2,[N/A],STAGE 2.2.2: CONNECT STAKEHOLDERS,2.2.2.1
,2.2.2.1,Sales Executive,Create Group Chat & add all stakeholders.,2.2.2.2
,2.2.2.2,Sales Executive,"Sends list of required docs in Client Group Chat (Requested Information: Layout plan OR photos of the premises, ACRA, NRIC of Director, Contact Number, Email).",2.2.2.3
,2.2.2.3,Client,Receive & execute forms.,2.2.2.4
,2.2.2.4,Client,Send executed forms to SE.,2.2.2.5
,2.2.2.5,Sales Executive,Receive executed Forms.,2.2.2.6
,2.2.2.6,Sales Executive,Has Client given the necessary documents?,"2.2.2.7, 2.2.2.8"
,2.2.2.7,Client,"If yes, Sends requested Docs & Information.",2.2.3
,2.2.2.8,Sales Executive,"If no, Follow up with Client on list of documents.",2.2.2.6
,2.2.3,[N/A],STAGE 2.2.3: PREPARE DETAILED DRAWINGS FOR REGULATORY COMPLIANCE,2.2.3.1
,2.2.3.1,Project Manager,Prepare Building Plan (BP).,2.2.3.2
,2.2.3.2,Admin,Send necessary documents to Freelancer to draw MV.,2.2.3.3
,2.2.3.3,Freelancers,Prepare detailed drawings.,"2.2.3.4, 2.2.3.7"
,2.2.3.4,Sales Executive,Receive detailed drawings by Freelancer.,2.2.3.5
,2.2.3.5,Sales Executive,SE checks for whether revisions tally with site condition.,2.2.3.6
,2.2.3.6,Sales Executive,Are there revisions to be made by Freelancer?,"2.2.3.12, 2.2.3.13"
,2.2.3.7,Project Manager,Receive detailed drawings by Freelancer.,2.2.3.8
,2.2.3.8,Project Manager,"PM checks for regulatory compliance (FS code, etc).",2.2.3.9
,2.2.3.9,Project Manager,Are there revisions to be made by Freelancer?,"2.2.3.10, 2.2.3.11"
,2.2.3.10,Project Manager,"If yes, Instructs Freelancers on revisions.",2.2.3.11
,2.2.3.11,Project Manager,"Collate and send detailed drawings (BP, MV) to Vetter/RI for approval.",2.2.3.14
,2.2.3.12,Sales Executive,"If yes, Instructs Freelancers on revisions.",2.2.3.13
,2.2.3.13,Sales Executive,Send to PM to collate.,2.2.3.11
,2.2.3.14,Civil Engineer,Receive detailed drawings.,2.2.3.15
,2.2.3.15,Civil Engineer,Are the detailed drawings approved by Vetter/RI?,"2.2.4, 2.2.3.16"
,2.2.3.16,Project Manager,"If no, Collate Vetter/RI's comments & revisions.",2.2.3.17
,2.2.3.17,Project Manager,Revise Building Plan (BP).,2.2.3.18
,2.2.3.18,Project Manager,Instructs Freelancers on revisions.,2.2.3.3
,2.2.4,[N/A],STAGE 2.2.4: ENDORSE & ENCRYPT DETAILED DRAWINGS,2.2.4.1
,2.2.4.1,Project Manager,Send detailed drawings to Qualified Persons (QP).,"2.2.4.2, 2.2.4.6"
,2.2.4.2,Mechanical Engineer,Receives ACMV & HDB Form.,2.2.4.3
,2.2.4.3,Mechanical Engineer,Endorses & encrypts ACMV.,2.2.4.4
,2.2.4.4,Mechanical Engineer,Sends to PM.,2.2.4.5
,2.2.4.5,Project Manager,Receives endorsed & encrypted ACMV.,2.2.4.11
,2.2.4.6,Civil Engineer,Receives BP & HDB Form.,2.2.4.7
,2.2.4.7,Civil Engineer,Endorses BP.,2.2.4.8
,2.2.4.8,Civil Engineer,Sends to PM.,2.2.4.9
,2.2.4.9,Project Manager,Receives endorsed BP.,2.2.4.10
,2.2.4.10,Admin,Encrypt BP.,2.2.4.11
,2.2.4.11,Project Manager,Consolidate Documents from QPs.,2.2.5
,2.2.5,[N/A],STAGE 2.2.5: SUBMISSION ON CORENET,2.2.5.1
,2.2.5.1,Admin,Log onto Corenet.,2.2.5.2
,2.2.5.2,Admin,Request OTP from MD.,2.2.5.3
,2.2.5.3,Managing Director,Send OTP.,2.2.5.4
,2.2.5.4,Admin,Receive OTP.,2.2.5.5
,2.2.5.5,Admin,Prepare Draft Submission.,2.2.5.6
,2.2.5.6,Admin,Verify details of Draft Submission.,2.2.5.7
,2.2.5.7,Admin,Print Summary & attachments.,2.2.5.8
,2.2.5.8,Admin,Submit on Corenet.,2.2.5.9
,2.2.5.9,Admin,Print acknowledgment of submission.,2.2.5.10
,2.2.5.10,Admin,File printed Summary & attachments.,2.2.5.11
,2.2.5.11,Admin,Email client on submission.,"2.2.5.12, 2.2.5.13"
,2.2.5.12,Client,Receive email confirmation of submission.,3.2
,2.2.5.13,Admin,Follow up with HDB (within 1 week).,3.2
2.3 Project Kickoff - URA,2.3.1,[N/A],STAGE 2.3.1: CONNECT STAKEHOLDERS,2.3.1.1
,2.3.1.1,Sales Executive,Create Group Chat & add all stakeholders (LANDLORD NOT INCLUDED).,2.3.1.2
,2.3.1.2,Sales Executive,"Sends list of required docs in Client Group Chat (Requested Information: Layout plan, Photos of the premises if possible, Landlord's NRIC, Landlord Contact Number, Landlord Email, Business Plan/Concept, ACRA, NRIC of Director, Director's Contact Number, Director's Email).",2.3.1.3
,2.3.1.3,Client,Has Client given the necessary documents?,"2.3.1.4, 2.3.1.5"
,2.3.1.4,Client,"If yes, Sends requested Docs & Information.","2.3.2, 2.3.3, 2.3.4"
,2.3.1.5,Sales Executive,"If no, Follow up with Client on list of documents.",2.3.1.3
,2.3.2,[N/A],STAGE 2.3.2: PREPARE LETTER OF AUTHORISATION,2.3.2.1
,2.3.2.1,Sales Executive,Review received documents & information.,2.3.2.2
,2.3.2.2,Sales Executive,Prepare Letter of Authorisation (LoA).,2.3.2.3
,2.3.2.3,Sales Executive,Send LoA to client for execution.,2.3.2.4
,2.3.2.4,Client,Executes LoA.,2.3.2.5
,2.3.2.5,Client,Sends executed LoA to SE.,2.3.2.6
,2.3.2.6,Sales Executive,Receives executed LoA.,2.3.2.7
,2.3.2.7,Sales Executive,Send to Admin.,2.3.5
,2.3.3,[N/A],STAGE 2.3.3: PREPARE BUSINESS PLAN FOR REGULATORY COMPLIANCE,2.3.3.1
,2.3.3.1,Project Manager,Review received documents & information (Information Required: Business Plan/Concept).,2.3.3.2
,2.3.3.2,Project Manager,Edits Business Plan for compliance with URA's requirements.,2.3.3.3
,2.3.3.3,Project Manager,Send edited Business Plan to SE for review & approval.,2.3.3.4
,2.3.3.4,Sales Executive,Receives edited Business Plan.,2.3.3.5
,2.3.3.5,Sales Executive,Reviews edited Business Plan.,2.3.3.6
,2.3.3.6,Sales Executive,Is edited Business Plan in line with what was preliminarily guided by URA during BD process check-in?,"2.3.3.7, 2.3.3.8"
,2.3.3.7,Sales Executive,"If yes, Sends revised/edited Business Plan to client for approval.",2.3.5
,2.3.3.8,Sales Executive,"If no, Gives Admin comments on edited Business Plan.",2.3.3.9
,2.3.3.9,Admin,Takes in SE's comments and revises Business Plan.,2.3.3.4
,2.3.4,[N/A],STAGE 2.3.4: PREPARE FLOORPLAN FOR REGULATORY COMPLIANCE,2.3.4.1
,2.3.4.1,Project Manager,"Review received documents & information (Information Required: Layout Plan. Review for Compliance: 60:40 ratio, Fire Safety).",2.3.4.2
,2.3.4.2,Project Manager,Draft advice on possible non-compliance and revisions needed for SE to inform client.,2.3.4.3
,2.3.4.3,Sales Executive,Forward advice to client on possible non-compliance and revisions needed.,2.3.4.4
,2.3.4.4,Client,Accept proposed suggestions/revisions to floorplan.,2.3.4.5
,2.3.4.5,Client,Need Quote?,"1.2, 2.3.4.6"
,2.3.4.6,Sales Executive,"If no, Informs PM.",2.3.4.7
,2.3.4.7,Project Manager,Instructs Freelancers on revisions.,2.3.4.8
,2.3.4.8,Freelancers,Receives instructions.,2.3.4.9
,2.3.4.9,Freelancers,Edit Floorplan.,2.3.4.10
,2.3.4.10,Freelancers,Send PM.,2.3.4.11
,2.3.4.11,Project Manager,Receives revised Floorplan.,2.3.4.12
,2.3.4.12,Project Manager,Send to SE to forward to client for approval.,2.3.4.13
,2.3.4.13,Sales Executive,Reviews revised Floorplan.,2.3.4.14
,2.3.4.14,Client,Receive detailed drawings.,2.3.4.15
,2.3.4.15,Client,Are the detailed drawings approved by client?,"2.3.4.22, 2.3.4.16"
,2.3.4.16,Project Manager,"If no, Collate Client's comments & revisions.",2.3.4.17
,2.3.4.17,Project Manager,Revise Building Plan (BP).,2.3.4.18
,2.3.4.18,Project Manager,Instructs Freelancers on revisions.,2.3.4.19
,2.3.4.19,Freelancers,Receives instructions.,2.3.4.20
,2.3.4.20,Freelancers,Edit BP.,2.3.4.21
,2.3.4.21,Freelancers,Send PM.,2.3.4.11
,2.3.4.22,Project Manager,"If yes, Sends Admin Approved Detailed Drawings for Submission.",2.3.5
,2.3.5,[N/A],STAGE 2.3.5: SUBMISSION ON GO BUSINESS SG,2.3.5.1
,2.3.5.1,Admin,Log onto Go Business SG (https://www.gobusiness.gov.sg/#).,2.3.5.2
,2.3.5.2,Admin,Request OTP from MD.,2.3.5.3
,2.3.5.3,Managing Director,Send OTP.,2.3.5.4
,2.3.5.4,Admin,Receive OTP.,2.3.5.5
,2.3.5.5,Admin,Prepare Draft Submission.,2.3.5.6
,2.3.5.6,Admin,Verify details of Draft Submission.,2.3.5.7
,2.3.5.7,Admin,Print Summary & attachments.,2.3.5.8
,2.3.5.8,Admin,Submit on Go Business SG.,2.3.5.9
,2.3.5.9,Admin,Print acknowledgment of submission.,2.3.5.10
,2.3.5.10,Admin,File printed Summary & attachments.,3.3
2.4 Project Kickoff - SCDF,2.4.1,[N/A],STAGE 2.4.1: CONNECT STAKEHOLDERS,2.4.1.1
,2.4.1.1,Sales Executive,"Sends list of required docs in Client Group Chat (Requested Information: Layout plan OR photos of the premises, ACRA, NRIC of Director, Contact Number, Email. To-Be: Decision > is it an existing unit or bare unit? Development of checklist for site visit, Collation of evidence required).",2.4.1.2
,2.4.1.2,Client,Has Client given the necessary documents?,"2.4.1.3, 2.4.1.4"
,2.4.1.3,Client,"If yes, Sends requested Docs & Information.","2.4.2, 2.4.3"
,2.4.1.4,Sales Executive,"If no, Follow up with Client on list of documents.",2.4.1.2
,2.4.2,[N/A],STAGE 2.4.2: PREPARE LETTER OF AUTHORISATION,2.4.2.1
,2.4.2.1,Sales Executive,Review received documents & information.,2.4.2.2
,2.4.2.2,Sales Executive,Prepare Letter of Authorisation (LoA).,2.4.2.3
,2.4.2.3,Sales Executive,Send LoA to client for execution.,2.4.2.4
,2.4.2.4,Client,Executes LoA.,2.4.2.5
,2.4.2.5,Client,Sends executed LoA to Admin.,2.4.2.6
,2.4.2.6,Admin,Receives LoA.,2.4.4
,2.4.3,[N/A],STAGE 2.4.3: REGISTER PROJECT ON CORENET & OBTAIN FORMS FOR PROJECT,2.4.3.1
,2.4.3.1,Admin,Register project on Corenet.,2.4.3.2
,2.4.3.2,Admin,Obtain project reference number.,2.4.3.3
,2.4.3.3,Admin,"Download Forms (Depending on department submitting to, different forms will be auto-generated by the Corenet's system).",2.4.3.4
,2.4.3.4,Admin,Fill up Forms.,2.4.3.5
,2.4.3.5,Admin,Save draft Forms in working folder for subsequent submission.,2.4.4
,2.4.4,[N/A],STAGE 2.4.4: PREPARE DETAILED DRAWINGS FOR REGULATORY COMPLIANCE,2.4.4.1
,2.4.4.1,Project Manager,"Prepare Building Plan (BP) (Necessary documents required to prepare first draft of BP by PM include: BP (Whole Storey Plan), Proposed layout plan (by client); and/or site photos/videos).",2.4.4.2
,2.4.4.2,Admin,"Send necessary documents to Freelancer to draw MV (Documents to be sent to Freelancer: 1. Building Plan (Draft BP), as prepared by PM. 2. Proposed layout plan (by client); and 3. Site photos/videos).",2.4.4.3
,2.4.4.3,Freelancers,"Prepare detailed drawings (Documents required to be prepared by Freelancer: 1. Detailed drawings: a. Building Plan (Revised BP), as prepared by Freelancer, b. Mechanical Ventilation (MV), c. Fire suppression / Sprinklers (FP)).",2.4.4.4
,2.4.4.4,Freelancers,Send detailed drawings to PM & SE.,"2.4.4.5, 2.4.4.6"
,2.4.4.5,Sales Executive,Receive detailed drawings by Freelancer.,2.4.4.7
,2.4.4.6,Project Manager,Receive detailed drawings by Freelancer.,2.4.4.8
,2.4.4.7,Sales Executive,SE checks for whether revisions tally with site condition.,2.4.4.9
,2.4.4.8,Project Manager,"PM checks for regulatory compliance (FS code, etc).",2.4.4.9
,2.4.4.9,Sales Executive,Are there revisions to be made by Freelancer? (Joint review by PM and SE),"2.4.4.10, 2.4.4.12"
,2.4.4.10,Sales Executive,"If yes, Instructs Freelancers on revisions.",2.4.4.11
,2.4.4.11,Sales Executive,Revise detailed drawings by Freelancer.,2.4.4.3
,2.4.4.12,Project Manager,"If no, Collate and send detailed drawings (BP, MV) to Vetter/RI for approval.",2.4.4.13
,2.4.4.13,Vetter / Registered Inspector,Receive detailed drawings.,2.4.4.14
,2.4.4.14,Vetter / Registered Inspector,Are the detailed drawings approved by Vetter/RI?,"2.4.5, 2.4.4.15"
,2.4.4.15,Project Manager,"If no, Collate Vetter/RI's comments & revisions.",2.4.4.16
,2.4.4.16,Project Manager,Revise Building Plan (BP).,2.4.4.17
,2.4.4.17,Project Manager,Instructs Freelancers on revisions.,2.4.4.3
,2.4.5,[N/A],STAGE 2.4.5: ENDORSE & ENCRYPT DETAILED DRAWINGS,2.4.5.1
,2.4.5.1,Project Manager,Send detailed drawings to Qualified Persons (QP).,"2.4.5.2, 2.4.5.6"
,2.4.5.2,Mechanical Engineer,Receives MV.,2.4.5.3
,2.4.5.3,Mechanical Engineer,Endorses & encrypts MV.,2.4.5.4
,2.4.5.4,Mechanical Engineer,Sends to PM.,2.4.5.5
,2.4.5.5,Project Manager,Receives endorsed & encrypted ACMV.,2.4.5.11
,2.4.5.6,Civil Engineer,Receives BP.,2.4.5.7
,2.4.5.7,Civil Engineer,Endorses BP.,2.4.5.8
,2.4.5.8,Civil Engineer,Sends to PM.,2.4.5.9
,2.4.5.9,Admin,Receives endorsed BP.,2.4.5.10
,2.4.5.10,Admin,Encrypt BP.,2.4.5.11
,2.4.5.11,Project Manager,Consolidate Documents from QPs.,2.4.6
,2.4.6,[N/A],STAGE 2.4.6: SUBMISSION ON CORENET,2.4.6.1
,2.4.6.1,Admin,Log onto Corenet (https://www.corenet.gov.sg/corenet/eSS/SoftwareDownloads/index.htm).,2.4.6.2
,2.4.6.2,Admin,Request OTP from CE and ME.,2.4.6.3
,2.4.6.3,Mechanical Engineer / Civil Engineer,Send OTP.,2.4.6.4
,2.4.6.4,Admin,Receive OTP.,2.4.6.5
